OTA,Iteration,Time,Result,Solver
TSM_v3,1,0.04258108139038086,safe,Theano_DC
TSM_v3,1,0.040741920471191406,safe,Theano_SC
TSM_v3,1,0.03410983085632324,safe,z3
TSM_v3,1,0.03235006332397461,safe,cvc5
TSM_v3,2,0.0413360595703125,safe,Theano_DC
TSM_v3,2,0.042488813400268555,safe,Theano_SC
TSM_v3,2,0.010854005813598633,safe,z3
TSM_v3,2,0.005049943923950195,safe,cvc5
TSM_v3,3,0.040654897689819336,safe,Theano_DC
TSM_v3,3,0.040453195571899414,safe,Theano_SC
TSM_v3,3,0.011305809020996094,safe,z3
TSM_v3,3,0.00492095947265625,safe,cvc5
TSM_v3,4,0.03991198539733887,safe,Theano_DC
TSM_v3,4,0.04089999198913574,safe,Theano_SC
TSM_v3,4,0.011034965515136719,safe,z3
TSM_v3,4,0.004987001419067383,safe,cvc5
TSM_v3,5,0.039981842041015625,safe,Theano_DC
TSM_v3,5,0.04080009460449219,safe,Theano_SC
TSM_v3,5,0.011683940887451172,safe,z3
TSM_v3,5,0.004872798919677734,safe,cvc5
TSM_v3,6,0.04012107849121094,safe,Theano_DC
TSM_v3,6,0.040556907653808594,safe,Theano_SC
TSM_v3,6,0.011607885360717773,safe,z3
TSM_v3,6,0.004887104034423828,safe,cvc5
TSM_v3,7,0.03997397422790527,safe,Theano_DC
TSM_v3,7,0.04089093208312988,safe,Theano_SC
TSM_v3,7,0.011536836624145508,safe,z3
TSM_v3,7,0.004832029342651367,safe,cvc5
TSM_v3,8,0.04007220268249512,safe,Theano_DC
TSM_v3,8,0.040750980377197266,safe,Theano_SC
TSM_v3,8,0.011305809020996094,safe,z3
TSM_v3,8,0.0048677921295166016,safe,cvc5
TSM_v3,9,0.03991103172302246,safe,Theano_DC
TSM_v3,9,0.04078507423400879,safe,Theano_SC
TSM_v3,9,0.01163792610168457,safe,z3
TSM_v3,9,0.005023002624511719,safe,cvc5
TSM_v3,10,0.04007720947265625,safe,Theano_DC
TSM_v3,10,0.040924072265625,safe,Theano_SC
TSM_v3,10,0.011514902114868164,safe,z3
TSM_v3,10,0.004781961441040039,safe,cvc5
TSM_v3,11,0.040136098861694336,safe,Theano_DC
TSM_v3,11,0.040039777755737305,safe,Theano_SC
TSM_v3,11,0.01149296760559082,safe,z3
TSM_v3,11,0.004889965057373047,safe,cvc5
TSM_v3,12,0.03979611396789551,safe,Theano_DC
TSM_v3,12,0.041008949279785156,safe,Theano_SC
TSM_v3,12,0.011042118072509766,safe,z3
TSM_v3,12,0.0048389434814453125,safe,cvc5
TSM_v3,13,0.03985714912414551,safe,Theano_DC
TSM_v3,13,0.040632009506225586,safe,Theano_SC
TSM_v3,13,0.010993003845214844,safe,z3
TSM_v3,13,0.004827976226806641,safe,cvc5
TSM_v3,14,0.03989815711975098,safe,Theano_DC
TSM_v3,14,0.04085087776184082,safe,Theano_SC
TSM_v3,14,0.011066913604736328,safe,z3
TSM_v3,14,0.005120992660522461,safe,cvc5
TSM_v3,15,0.039793968200683594,safe,Theano_DC
TSM_v3,15,0.04063677787780762,safe,Theano_SC
TSM_v3,15,0.011001110076904297,safe,z3
TSM_v3,15,0.005110025405883789,safe,cvc5
TSM_v3,16,0.04022502899169922,safe,Theano_DC
TSM_v3,16,0.040869951248168945,safe,Theano_SC
TSM_v3,16,0.010904073715209961,safe,z3
TSM_v3,16,0.004931926727294922,safe,cvc5
TSM_v3,17,0.04071402549743652,safe,Theano_DC
TSM_v3,17,0.04074597358703613,safe,Theano_SC
TSM_v3,17,0.01111602783203125,safe,z3
TSM_v3,17,0.005362033843994141,safe,cvc5
TSM_v3,18,0.04005002975463867,safe,Theano_DC
TSM_v3,18,0.04070305824279785,safe,Theano_SC
TSM_v3,18,0.010935783386230469,safe,z3
TSM_v3,18,0.004952907562255859,safe,cvc5
TSM_v3,19,0.04022216796875,safe,Theano_DC
TSM_v3,19,0.04069805145263672,safe,Theano_SC
TSM_v3,19,0.011073112487792969,safe,z3
TSM_v3,19,0.004890918731689453,safe,cvc5
TSM_v3,20,0.04098391532897949,safe,Theano_DC
TSM_v3,20,0.040289878845214844,safe,Theano_SC
TSM_v3,20,0.010943174362182617,safe,z3
TSM_v3,20,0.004974842071533203,safe,cvc5
TSM_v3,21,0.04039812088012695,safe,Theano_DC
TSM_v3,21,0.04026198387145996,safe,Theano_SC
TSM_v3,21,0.011354923248291016,safe,z3
TSM_v3,21,0.0049059391021728516,safe,cvc5
TSM_v3,22,0.03997206687927246,safe,Theano_DC
TSM_v3,22,0.04064202308654785,safe,Theano_SC
TSM_v3,22,0.011227846145629883,safe,z3
TSM_v3,22,0.004884004592895508,safe,cvc5
TSM_v3,23,0.040040016174316406,safe,Theano_DC
TSM_v3,23,0.0403749942779541,safe,Theano_SC
TSM_v3,23,0.010928869247436523,safe,z3
TSM_v3,23,0.004837989807128906,safe,cvc5
TSM_v3,24,0.04023599624633789,safe,Theano_DC
TSM_v3,24,0.0406489372253418,safe,Theano_SC
TSM_v3,24,0.023111820220947266,safe,z3
TSM_v3,24,0.0051479339599609375,safe,cvc5
TSM_v3,25,0.04024195671081543,safe,Theano_DC
TSM_v3,25,0.0405728816986084,safe,Theano_SC
TSM_v3,25,0.011013984680175781,safe,z3
TSM_v3,25,0.00500798225402832,safe,cvc5
TSM_v3,26,0.03986406326293945,safe,Theano_DC
TSM_v3,26,0.04072093963623047,safe,Theano_SC
TSM_v3,26,0.011179924011230469,safe,z3
TSM_v3,26,0.005074024200439453,safe,cvc5
TSM_v3,27,0.040580034255981445,safe,Theano_DC
TSM_v3,27,0.04063296318054199,safe,Theano_SC
TSM_v3,27,0.011081933975219727,safe,z3
TSM_v3,27,0.004906177520751953,safe,cvc5
TSM_v3,28,0.040390968322753906,safe,Theano_DC
TSM_v3,28,0.040483951568603516,safe,Theano_SC
TSM_v3,28,0.01100778579711914,safe,z3
TSM_v3,28,0.005120038986206055,safe,cvc5
TSM_v3,29,0.039800167083740234,safe,Theano_DC
TSM_v3,29,0.04075479507446289,safe,Theano_SC
TSM_v3,29,0.011073112487792969,safe,z3
TSM_v3,29,0.004920005798339844,safe,cvc5
TSM_v3,30,0.03991198539733887,safe,Theano_DC
TSM_v3,30,0.04112601280212402,safe,Theano_SC
TSM_v3,30,0.011187076568603516,safe,z3
TSM_v3,30,0.004848957061767578,safe,cvc5
TSM_v3,31,0.040222883224487305,safe,Theano_DC
TSM_v3,31,0.042170047760009766,safe,Theano_SC
TSM_v3,31,0.011282920837402344,safe,z3
TSM_v3,31,0.004914045333862305,safe,cvc5
TSM_v3,32,0.039903879165649414,safe,Theano_DC
TSM_v3,32,0.041030168533325195,safe,Theano_SC
TSM_v3,32,0.010892868041992188,safe,z3
TSM_v3,32,0.004926919937133789,safe,cvc5
TSM_v3,33,0.0400240421295166,safe,Theano_DC
TSM_v3,33,0.04086804389953613,safe,Theano_SC
TSM_v3,33,0.011129140853881836,safe,z3
TSM_v3,33,0.004904031753540039,safe,cvc5
TSM_v3,34,0.04001188278198242,safe,Theano_DC
TSM_v3,34,0.040632009506225586,safe,Theano_SC
TSM_v3,34,0.011224985122680664,safe,z3
TSM_v3,34,0.004927158355712891,safe,cvc5
TSM_v3,35,0.04054093360900879,safe,Theano_DC
TSM_v3,35,0.04071307182312012,safe,Theano_SC
TSM_v3,35,0.011452913284301758,safe,z3
TSM_v3,35,0.00494694709777832,safe,cvc5
TSM_v3,36,0.040138959884643555,safe,Theano_DC
TSM_v3,36,0.04083704948425293,safe,Theano_SC
TSM_v3,36,0.011256933212280273,safe,z3
TSM_v3,36,0.0048830509185791016,safe,cvc5
TSM_v3,37,0.04040813446044922,safe,Theano_DC
TSM_v3,37,0.04074716567993164,safe,Theano_SC
TSM_v3,37,0.011106014251708984,safe,z3
TSM_v3,37,0.005017995834350586,safe,cvc5
TSM_v3,38,0.041185855865478516,safe,Theano_DC
TSM_v3,38,0.04112887382507324,safe,Theano_SC
TSM_v3,38,0.011188983917236328,safe,z3
TSM_v3,38,0.005264997482299805,safe,cvc5
TSM_v3,39,0.04008293151855469,safe,Theano_DC
TSM_v3,39,0.040946006774902344,safe,Theano_SC
TSM_v3,39,0.011054039001464844,safe,z3
TSM_v3,39,0.005068063735961914,safe,cvc5
TSM_v3,40,0.04025697708129883,safe,Theano_DC
TSM_v3,40,0.04125690460205078,safe,Theano_SC
TSM_v3,40,0.011693000793457031,safe,z3
TSM_v3,40,0.004790067672729492,safe,cvc5
TSM_v3,41,0.040608882904052734,safe,Theano_DC
TSM_v3,41,0.04078984260559082,safe,Theano_SC
TSM_v3,41,0.01105809211730957,safe,z3
TSM_v3,41,0.0049479007720947266,safe,cvc5
TSM_v3,42,0.040220022201538086,safe,Theano_DC
TSM_v3,42,0.04078197479248047,safe,Theano_SC
TSM_v3,42,0.011433124542236328,safe,z3
TSM_v3,42,0.005163908004760742,safe,cvc5
TSM_v3,43,0.03999185562133789,safe,Theano_DC
TSM_v3,43,0.04109811782836914,safe,Theano_SC
TSM_v3,43,0.011287927627563477,safe,z3
TSM_v3,43,0.005079030990600586,safe,cvc5
TSM_v3,44,0.04039812088012695,safe,Theano_DC
TSM_v3,44,0.041056156158447266,safe,Theano_SC
TSM_v3,44,0.01112818717956543,safe,z3
TSM_v3,44,0.005003929138183594,safe,cvc5
TSM_v3,45,0.04051089286804199,safe,Theano_DC
TSM_v3,45,0.040802001953125,safe,Theano_SC
TSM_v3,45,0.01196599006652832,safe,z3
TSM_v3,45,0.0050508975982666016,safe,cvc5
TSM_v3,46,0.04083085060119629,safe,Theano_DC
TSM_v3,46,0.040921926498413086,safe,Theano_SC
TSM_v3,46,0.010991096496582031,safe,z3
TSM_v3,46,0.0048830509185791016,safe,cvc5
TSM_v3,47,0.04036712646484375,safe,Theano_DC
TSM_v3,47,0.04076194763183594,safe,Theano_SC
TSM_v3,47,0.011262893676757812,safe,z3
TSM_v3,47,0.004796028137207031,safe,cvc5
TSM_v3,48,0.04014110565185547,safe,Theano_DC
TSM_v3,48,0.040580034255981445,safe,Theano_SC
TSM_v3,48,0.01119089126586914,safe,z3
TSM_v3,48,0.004965066909790039,safe,cvc5
TSM_v3,49,0.04012894630432129,safe,Theano_DC
TSM_v3,49,0.040962934494018555,safe,Theano_SC
TSM_v3,49,0.011166095733642578,safe,z3
TSM_v3,49,0.0048868656158447266,safe,cvc5
TSM_v3,50,0.040474891662597656,safe,Theano_DC
TSM_v3,50,0.04066300392150879,safe,Theano_SC
TSM_v3,50,0.011482000350952148,safe,z3
TSM_v3,50,0.0049631595611572266,safe,cvc5
FSM_v3,1,0.04142498970031738,safe,Theano_DC
FSM_v3,1,0.04184699058532715,safe,Theano_SC
FSM_v3,1,0.011346101760864258,safe,z3
FSM_v3,1,0.004698991775512695,safe,cvc5
FSM_v3,2,0.04096388816833496,safe,Theano_DC
FSM_v3,2,0.041780948638916016,safe,Theano_SC
FSM_v3,2,0.010637998580932617,safe,z3
FSM_v3,2,0.004664182662963867,safe,cvc5
FSM_v3,3,0.04177999496459961,safe,Theano_DC
FSM_v3,3,0.04130911827087402,safe,Theano_SC
FSM_v3,3,0.010514974594116211,safe,z3
FSM_v3,3,0.004599809646606445,safe,cvc5
FSM_v3,4,0.041615962982177734,safe,Theano_DC
FSM_v3,4,0.0419459342956543,safe,Theano_SC
FSM_v3,4,0.011095046997070312,safe,z3
FSM_v3,4,0.004861116409301758,safe,cvc5
FSM_v3,5,0.04149293899536133,safe,Theano_DC
FSM_v3,5,0.04178285598754883,safe,Theano_SC
FSM_v3,5,0.010535955429077148,safe,z3
FSM_v3,5,0.004782915115356445,safe,cvc5
FSM_v3,6,0.04139089584350586,safe,Theano_DC
FSM_v3,6,0.04196596145629883,safe,Theano_SC
FSM_v3,6,0.01066899299621582,safe,z3
FSM_v3,6,0.004614830017089844,safe,cvc5
FSM_v3,7,0.04131484031677246,safe,Theano_DC
FSM_v3,7,0.04180002212524414,safe,Theano_SC
FSM_v3,7,0.010651111602783203,safe,z3
FSM_v3,7,0.004654884338378906,safe,cvc5
FSM_v3,8,0.041445016860961914,safe,Theano_DC
FSM_v3,8,0.041877031326293945,safe,Theano_SC
FSM_v3,8,0.010746955871582031,safe,z3
FSM_v3,8,0.004621028900146484,safe,cvc5
FSM_v3,9,0.04192686080932617,safe,Theano_DC
FSM_v3,9,0.042037010192871094,safe,Theano_SC
FSM_v3,9,0.010859966278076172,safe,z3
FSM_v3,9,0.004770994186401367,safe,cvc5
FSM_v3,10,0.04121804237365723,safe,Theano_DC
FSM_v3,10,0.041990041732788086,safe,Theano_SC
FSM_v3,10,0.010804891586303711,safe,z3
FSM_v3,10,0.0045948028564453125,safe,cvc5
FSM_v3,11,0.04186201095581055,safe,Theano_DC
FSM_v3,11,0.04226112365722656,safe,Theano_SC
FSM_v3,11,0.010740995407104492,safe,z3
FSM_v3,11,0.004642009735107422,safe,cvc5
FSM_v3,12,0.04183316230773926,safe,Theano_DC
FSM_v3,12,0.041960954666137695,safe,Theano_SC
FSM_v3,12,0.010727882385253906,safe,z3
FSM_v3,12,0.004658937454223633,safe,cvc5
FSM_v3,13,0.0413970947265625,safe,Theano_DC
FSM_v3,13,0.04198908805847168,safe,Theano_SC
FSM_v3,13,0.010805130004882812,safe,z3
FSM_v3,13,0.0046880245208740234,safe,cvc5
FSM_v3,14,0.04139304161071777,safe,Theano_DC
FSM_v3,14,0.04138994216918945,safe,Theano_SC
FSM_v3,14,0.010835886001586914,safe,z3
FSM_v3,14,0.004697084426879883,safe,cvc5
FSM_v3,15,0.04145693778991699,safe,Theano_DC
FSM_v3,15,0.04207897186279297,safe,Theano_SC
FSM_v3,15,0.010582923889160156,safe,z3
FSM_v3,15,0.004830121994018555,safe,cvc5
FSM_v3,16,0.04135012626647949,safe,Theano_DC
FSM_v3,16,0.042059898376464844,safe,Theano_SC
FSM_v3,16,0.010770082473754883,safe,z3
FSM_v3,16,0.004542112350463867,safe,cvc5
FSM_v3,17,0.04129910469055176,safe,Theano_DC
FSM_v3,17,0.041845083236694336,safe,Theano_SC
FSM_v3,17,0.010989189147949219,safe,z3
